#ID = Agilent feature number
#COL = Column
#ROW = Row
#miRNA_ID = 
#PROBE NAME = Spot identifier
#CONTROL_TYPE = Control type
#ACCESSION_STRING = Accession String
#CHROMOSOMAL_LOCATION = Chromosomal Location
#DESCRIPTION = Description
#SPOT_ID = 
ID	COL	ROW	miRNA_ID	PROBE NAME	CONTROL_TYPE	ACCESSION_STRING	CHROMOSOMAL_LOCATION	DESCRIPTION	SPOT_ID
74	96	18	hsa-miR-589	A_25_P00012764	FALSE	mir|hsa-miR-589|mir|MIMAT0004799	chr7:005502020-005502005	NA	
75	96	16	kshv-miR-K12-8	A_25_P00011766	FALSE	mir|kshv-miR-K12-8|mir|MIMAT0002186	unmapped	NA	
76	96	14		NA	ignore				-- ignore
77	96	12	hsa-miR-1229	A_25_P00014941	FALSE	mir|hsa-miR-1229|mir|MIMAT0005584	chr5:179157952-179157941	NA	
78	96	10	hsa-miR-483-5p	A_25_P00012459	FALSE	mir|hsa-miR-483-5p|mir|MIMAT0004761	chr11:002111968-002111955	NA	
79	96	8	ebv-miR-BART12	A_25_P00013754	FALSE	mir|ebv-miR-BART12|mir|MIMAT0003423	unmapped	NA	
80	96	6		DarkCorner	pos				CONTROL
81	96	4		SCorner3	pos				CONTROL
82	96	2		miRNABrightCorner30	pos				CONTROL
83	96	163		SCorner3	pos				CONTROL
84	96	161		DarkCorner	pos				CONTROL
85	96	159	hsa-miR-380*	A_25_P00010791	FALSE	mir|hsa-miR-380*|mir|MIMAT0000734|mir|hsa-miR-380-5p_v9.1	chr14:100561116-100561132	NA	
86	96	157	hsa-miR-302c*	A_25_P00010506	FALSE	mir|hsa-miR-302c*|mir|MIMAT0000716	chr4:113788996-113788984	NA	
87	96	155	hsa-miR-888	A_25_P00012938	FALSE	mir|hsa-miR-888|mir|MIMAT0004916	chrX:144884024-144884007	NA	
88	96	153	hsa-miR-493	A_25_P00012500	FALSE	mir|hsa-miR-493|mir|MIMAT0003161	chr14:100405214-100405227	NA	
89	96	151	hsa-miR-183	A_25_P00012098	FALSE	mir|hsa-miR-183|mir|MIMAT0000261	chr7:129202028-129202010	NA	
90	96	149		NegativeControl	neg				CONTROL
91	96	147	hsa-miR-662	A_25_P00010665	FALSE	mir|hsa-miR-662|mir|MIMAT0003325	chr16:000760249-000760264	NA	
92	96	145	hsa-miR-518f	A_25_P00012558	FALSE	mir|hsa-miR-518f|mir|MIMAT0002842	chr19:058895135-058895153	NA	
93	96	143	hsa-miR-629	A_25_P00012820	FALSE	mir|hsa-miR-629|mir|MIMAT0004810	chr15:068158806-068158792	NA	
94	96	141	hsa-miR-512-3p	A_25_P00010709	FALSE	mir|hsa-miR-512-3p|mir|MIMAT0002823	chr19:058861798-058861816	NA	
95	96	139	ebv-miR-BART6-5p	A_25_P00013739	FALSE	mir|ebv-miR-BART6-5p|mir|MIMAT0003414	unmapped	NA	
96	96	137	hsa-miR-125b-2*	A_25_P00014589	FALSE	mir|hsa-miR-125b-2*|mir|MIMAT0004603	chr21:016884488-016884502	NA	
97	96	135	kshv-miR-K12-3*	A_25_P00011889	FALSE	mir|kshv-miR-K12-3*|mir|MIMAT0002194	unmapped	NA	
98	96	133	hsa-miR-921	A_25_P00013042	FALSE	mir|hsa-miR-921|mir|MIMAT0004971	chr1:164390629-164390614	NA	
99	96	131		NA	ignore				-- ignore
100	96	129		NA	ignore				-- ignore
101	96	127		NC2_00092197	neg				CONTROL
102	96	125		NA	ignore				-- ignore
103	96	123		NC2_00122731	neg				CONTROL
104	96	121	hsa-miR-891a	A_25_P00012882	FALSE	mir|hsa-miR-891a|mir|MIMAT0004902	chrX:144917035-144917022	NA	
105	96	119	hsa-miR-149	A_25_P00012234	FALSE	mir|hsa-miR-149|mir|MIMAT0000450	chr2:241044111-241044127	NA	
106	96	117	hsa-miR-525-5p	A_25_P00014873	FALSE	mir|hsa-miR-525-5p|mir|MIMAT0002838|mir|hsa-miR-525_v9.1	chr19:058892616-058892633	NA	
107	96	115	hsa-miR-33a*	A_25_P00013220	FALSE	mir|hsa-miR-33a*|mir|MIMAT0004506	chr22:040626948-040626960	NA	
108	96	113	hsa-miR-137	A_25_P00010617	FALSE	mir|hsa-miR-137|mir|MIMAT0000429|mir|hsa-miR-137_v9.1	chr1:098284294-098284276	NA	
109	96	111		NA	ignore				-- ignore
110	96	109	hsa-miR-525-3p	A_25_P00012547	FALSE	mir|hsa-miR-525-3p|mir|MIMAT0002839	chr19:058892657-058892671	NA	
111	96	107	hsa-miR-20b	A_25_P00010614	FALSE	mir|hsa-miR-20b|mir|MIMAT0001413	chrX:133131532-133131514	NA	
112	96	105	hsa-miR-100	A_25_P00010474	FALSE	mir|hsa-miR-100|mir|MIMAT0000098	chr11:121528180-121528162	NA	
113	96	103	hsa-miR-876-3p	A_25_P00012964	FALSE	mir|hsa-miR-876-3p|mir|MIMAT0004925	chr9:028853694-028853676	NA	
114	96	101	hsa-miR-770-5p	A_25_P00011476	FALSE	mir|hsa-miR-770-5p|mir|MIMAT0003948	chr14:100388507-100388521	NA	
115	96	99	hsa-miR-450b-5p	A_25_P00012908	FALSE	mir|hsa-miR-450b-5p|mir|MIMAT0004909	chrX:133501912-133501894	NA	
116	96	97	hsa-miR-20a	A_25_P00010613	FALSE	mir|hsa-miR-20a|mir|MIMAT0000075	chr13:090801332-090801349	NA	
117	96	95		NA	ignore				-- ignore
118	96	93	hsa-miR-138	A_25_P00012169	FALSE	mir|hsa-miR-138|mir|MIMAT0000430	chr3:044130740-044130752	NA	
119	96	91	hsa-miR-23b	A_25_P00010882	FALSE	mir|hsa-miR-23b|mir|MIMAT0000418	chr9:096887373-096887388	NA	
120	96	89	hsa-miR-369-3p	A_25_P00010023	FALSE	mir|hsa-miR-369-3p|mir|MIMAT0000721	chr14:100601731-100601751	NA	
121	96	87	hsa-miR-622	A_25_P00010805	FALSE	mir|hsa-miR-622|mir|MIMAT0003291	chr13:089681501-089681517	NA	
122	96	85		hur_4	pos				CONTROL
123	96	83		NC2_00079215	neg				CONTROL
124	96	81	hsa-miR-1225-5p	A_25_P00014920	FALSE	mir|hsa-miR-1225-5p|mir|MIMAT0005572	chr16:002080218-002080209	NA	
125	96	79	hsa-miR-129*	A_25_P00013277	FALSE	mir|hsa-miR-129*|mir|MIMAT0004548	chr7:127635212-127635230	NA	
126	96	77	hsa-miR-212	A_25_P00010853	FALSE	mir|hsa-miR-212|mir|MIMAT0000269	chr17:001900405-001900390	NA	
127	96	75	ebv-miR-BART6-5p	A_25_P00013738	FALSE	mir|ebv-miR-BART6-5p|mir|MIMAT0003414	unmapped	NA	
128	96	73		NegativeControl	neg				CONTROL
129	96	71	hsa-miR-1224-5p	A_25_P00014908	FALSE	mir|hsa-miR-1224-5p|mir|MIMAT0005458	chr3:185441894-185441905	NA	
130	96	69	hsa-miR-384	A_25_P00010971	FALSE	mir|hsa-miR-384|mir|MIMAT0001075	chrX:076056167-076056148	NA	
131	96	67	hsa-miR-890	A_25_P00012920	FALSE	mir|hsa-miR-890|mir|MIMAT0004912	chrX:144883515-144883502	NA	
132	96	65	hsa-miR-522	A_25_P00012611	FALSE	mir|hsa-miR-522|mir|MIMAT0002868	chr19:058946331-058946351	NA	
133	96	63		NA	ignore				-- ignore
134	96	61	hsa-miR-20a*	A_25_P00013170	FALSE	mir|hsa-miR-20a*|mir|MIMAT0004493	chr13:090801365-090801384	NA	
135	96	59		NA	ignore				-- ignore
136	96	57	hsa-miR-302a*	A_25_P00013491	FALSE	mir|hsa-miR-302a*|mir|MIMAT0000683	chr4:113788815-113788799	NA	
137	96	55		NA	ignore				-- ignore
138	96	53	hsa-miR-523	A_25_P00014118	FALSE	mir|hsa-miR-523|mir|MIMAT0002840	chr19:058893508-058893525	NA	
139	96	51	hsa-miR-552	A_25_P00011121	FALSE	mir|hsa-miR-552|mir|MIMAT0003215	chr1:034907867-034907848	NA	
140	96	49	hsa-miR-325	A_25_P00010180	FALSE	mir|hsa-miR-325|mir|MIMAT0000771	chrX:076142257-076142240	NA	
141	96	47		NC2_00122731	neg				CONTROL
142	96	45	hsa-miR-675	A_25_P00011610	FALSE	mir|hsa-miR-675|mir|MIMAT0004284	chr11:001974596-001974584	NA	
143	96	43	hsa-miR-323-5p	A_25_P00012369	FALSE	mir|hsa-miR-323-5p|mir|MIMAT0004696	chr14:100561847-100561858	NA	
144	96	41	hsa-miR-92b	A_25_P00012710	FALSE	mir|hsa-miR-92b|mir|MIMAT0003218	chr1:153431661-153431673	NA	
145	96	39	ebv-miR-BART3*	A_25_P00011681	FALSE	mir|ebv-miR-BART3*|mir|MIMAT0003410|mir|ebv-miR-BART3-5p_v9.1	unmapped	NA	
146	96	37	hsa-miR-146b-5p	A_25_P00010387	FALSE	mir|hsa-miR-146b-5p|mir|MIMAT0002809|mir|hsa-miR-146b_v9.1	chr10:104186271-104186288	NA	
147	96	35	hsa-miR-20b*	A_25_P00013573	FALSE	mir|hsa-miR-20b*|mir|MIMAT0004752	chrX:133131569-133131558	NA	
148	96	33	kshv-miR-K12-4-5p	A_25_P00011739	FALSE	mir|kshv-miR-K12-4-5p|mir|MIMAT0002191	unmapped	NA	
149	96	31	hsa-miR-580	A_25_P00011354	FALSE	mir|hsa-miR-580|mir|MIMAT0003245	chr5:036183832-036183813	NA	
150	96	29	hsa-miR-183	A_25_P00012098	FALSE	mir|hsa-miR-183|mir|MIMAT0000261	chr7:129202028-129202010	NA	
151	96	27	hsa-miR-584	A_25_P00010635	FALSE	mir|hsa-miR-584|mir|MIMAT0003249	chr5:148422105-148422090	NA	
152	96	25	hsa-miR-122	A_25_P00012153	FALSE	mir|hsa-miR-122|mir|MIMAT0000421	chr18:054269304-054269321	NA	
153	96	23	hsa-miR-618	A_25_P00011280	FALSE	mir|hsa-miR-618|mir|MIMAT0003287	chr12:079853683-079853666	NA	
154	96	21	hsa-miR-204	A_25_P00010400	FALSE	mir|hsa-miR-204|mir|MIMAT0000265	chr9:072614764-072614746	NA	
155	96	19	hsa-miR-614	A_25_P00010535	FALSE	mir|hsa-miR-614|mir|MIMAT0003282	chr12:012960091-012960105	NA	
156	96	17		NA	ignore				-- ignore
157	96	15	hsa-miR-367*	A_25_P00013520	FALSE	mir|hsa-miR-367*|mir|MIMAT0004686	chr4:113788505-113788485	NA	
158	96	13	hsa-miR-513a-5p	A_25_P00014886	FALSE	mir|hsa-miR-513a-5p|mir|MIMAT0002877	chrX:146115088-146115074	NA	
159	96	11	kshv-miR-K12-6-5p	A_25_P00011720	FALSE	mir|kshv-miR-K12-6-5p|mir|MIMAT0002188	unmapped	NA	
160	96	9		NA	ignore				-- ignore
161	96	7	hsa-miR-557	A_25_P00010345	FALSE	mir|hsa-miR-557|mir|MIMAT0003221	chr1:166611454-166611468	NA	
162	96	5		DarkCorner	pos				CONTROL
163	96	3		DarkCorner	pos				CONTROL
164	96	1		miRNABrightCorner30	pos				CONTROL
165	95	164		DarkCorner	pos				CONTROL
166	95	162		DarkCorner	pos				CONTROL
167	95	160	ebv-miR-BHRF1-3	A_25_P00013713	FALSE	mir|ebv-miR-BHRF1-3|mir|MIMAT0000998	unmapped	NA	
168	95	158	hsa-miR-218	A_25_P00010211	FALSE	mir|hsa-miR-218|mir|MIMAT0000275	chr4:020139022-020139040	NA	
169	95	156	hsa-miR-636	A_25_P00012829	FALSE	mir|hsa-miR-636|mir|MIMAT0003306	chr17:072244209-072244199	NA	
170	95	154	hsa-miR-30b*	A_25_P00013382	FALSE	mir|hsa-miR-30b*|mir|MIMAT0004589	chr8:135882020-135882002	NA	
171	95	152	hsa-miR-96*	A_25_P00013238	FALSE	mir|hsa-miR-96*|mir|MIMAT0004510	chr7:129201840-129201825	NA	
172	95	150	hsa-miR-887	A_25_P00013001	FALSE	mir|hsa-miR-887|mir|MIMAT0004951	chr5:015988348-015988359	NA	
173	95	148	hsa-miR-31	A_25_P00012019	FALSE	mir|hsa-miR-31|mir|MIMAT0000089	chr9:021502141-021502126	NA	
174	95	146	hsa-miR-874	A_25_P00012919	FALSE	mir|hsa-miR-874|mir|MIMAT0004911	chr5:137011227-137011215	NA	
175	95	144	hsa-miR-637	A_25_P00011271	FALSE	mir|hsa-miR-637|mir|MIMAT0003307	chr19:003912495-003912482	NA	
176	95	142	hsa-miR-135b*	A_25_P00013551	FALSE	mir|hsa-miR-135b*|mir|MIMAT0004698	chr1:203684128-203684114	NA	
177	95	140	hsa-miR-661	A_25_P00011275	FALSE	mir|hsa-miR-661|mir|MIMAT0003324	chr8:145091420-145091408	NA	
178	95	138	hsa-miR-220b	A_25_P00012904	FALSE	mir|hsa-miR-220b|mir|MIMAT0004908	chr19:006446974-006446989	NA	
179	95	136	hsa-miR-518a-5p	A_25_P00012585	FALSE	mir|hsa-miR-518a-5p|mir|MIMAT0005457|mir|hsa-miR-520d-5p|mir|MIMAT0002855|mir|hsa-miR-527|mir|MIMAT0002862	chr19:058949102-058949116	NA	
180	95	134	hsa-miR-96*	A_25_P00013239	FALSE	mir|hsa-miR-96*|mir|MIMAT0004510	chr7:129201840-129201824	NA	
181	95	132		NA	ignore				-- ignore
182	95	130	hsa-miR-653	A_25_P00012846	FALSE	mir|hsa-miR-653|mir|MIMAT0003328	chr7:092950040-092950022	NA	
183	95	128	hsa-miR-526b	A_25_P00012539	FALSE	mir|hsa-miR-526b|mir|MIMAT0002835	chr19:058889478-058889494	NA	
184	95	126	hsa-miR-222	A_25_P00012126	FALSE	mir|hsa-miR-222|mir|MIMAT0000279	chrX:045491453-045491441	NA	
185	95	124	hsa-miR-516a-5p	A_25_P00014151	FALSE	mir|hsa-miR-516a-5p|mir|MIMAT0004770	chr19:058951826-058951844	NA	
186	95	122		NA	ignore				-- ignore
187	95	120	hsa-miR-423-5p	A_25_P00012418	FALSE	mir|hsa-miR-423-5p|mir|MIMAT0004748	chr17:025468247-025468261	NA	
188	95	118	hsa-miR-18a*	A_25_P00013152	FALSE	mir|hsa-miR-18a*|mir|MIMAT0002891	chr13:090801062-090801074	NA	
189	95	116	hsa-let-7g*	A_25_P00013361	FALSE	mir|hsa-let-7g*|mir|MIMAT0004584	chr3:052277415-052277403	NA	
190	95	114		NC2_00079215	neg				CONTROL
191	95	112	hsa-miR-193b	A_25_P00012512	FALSE	mir|hsa-miR-193b|mir|MIMAT0002819	chr16:014305381-014305396	NA	
192	95	110	hsa-miR-770-5p	A_25_P00011979	FALSE	mir|hsa-miR-770-5p|mir|MIMAT0003948	chr14:100388505-100388521	NA	
193	95	108		NegativeControl	neg				CONTROL
194	95	106	hcmv-miR-US33-3p	A_25_P00013698	FALSE	mir|hcmv-miR-US33-3p|mir|MIMAT0004756	unmapped	NA	
195	95	104	hsa-miR-95	A_25_P00014823	FALSE	mir|hsa-miR-95|mir|MIMAT0000094	chr4:008057997-008057978	NA	
196	95	102	hcmv-miR-UL36*	A_25_P00013702	FALSE	mir|hcmv-miR-UL36*|mir|MIMAT0004754	unmapped	NA	
197	95	100	hsa-miR-582-3p	A_25_P00012746	FALSE	mir|hsa-miR-582-3p|mir|MIMAT0004797	chr5:059035262-059035248	NA	
198	95	98		NA	ignore				-- ignore
199	95	96	hsa-miR-188-3p	A_25_P00012249	FALSE	mir|hsa-miR-188-3p|mir|MIMAT0004613	chrX:049654908-049654922	NA	
200	95	94	hsa-miR-499-5p	A_25_P00012624	FALSE	mir|hsa-miR-499-5p|mir|MIMAT0002870	chr20:033041873-033041892	NA	
201	95	92	hsa-miR-888*	A_25_P00013661	FALSE	mir|hsa-miR-888*|mir|MIMAT0004917	chrX:144884060-144884045	NA	
202	95	90	hsa-miR-30e*	A_25_P00010838	FALSE	mir|hsa-miR-30e*|mir|MIMAT0000693|mir|hsa-miR-30e-3p_v9.1	chr1:040992677-040992693	NA	
203	95	88	hsa-miR-886-5p	A_25_P00012895	FALSE	mir|hsa-miR-886-5p|mir|MIMAT0004905	chr5:135444108-135444094	NA	
204	95	86	hsa-miR-33a	A_25_P00012026	FALSE	mir|hsa-miR-33a|mir|MIMAT0000091	chr22:040626900-040626919	NA	
205	95	84		NA	ignore				-- ignore
206	95	82		NA	ignore				-- ignore
207	95	80	hsa-miR-10b	A_25_P00012082	FALSE	mir|hsa-miR-10b|mir|MIMAT0000254	chr2:176723306-176723325	NA	
208	95	78	hsa-miR-202	A_25_P00014863	FALSE	mir|hsa-miR-202|mir|MIMAT0002811	chr10:134911088-134911075	NA	
209	95	76	hsa-miR-138-1*	A_25_P00013438	FALSE	mir|hsa-miR-138-1*|mir|MIMAT0004607	chr3:044130782-044130791	NA	
210	95	74	hsa-miR-212	A_25_P00010853	FALSE	mir|hsa-miR-212|mir|MIMAT0000269	chr17:001900405-001900390	NA	
211	95	72	hsa-miR-744*	A_25_P00013675	FALSE	mir|hsa-miR-744*|mir|MIMAT0004946	chr17:011926012-011926029	NA	
212	95	70	hsa-miR-422a	A_25_P00012414	FALSE	mir|hsa-miR-422a|mir|MIMAT0001339	chr15:061950212-061950202	NA	
213	95	68	hcmv-miR-US4	A_25_P00011700	FALSE	mir|hcmv-miR-US4|mir|MIMAT0003341	unmapped	NA	
214	95	66	hsa-miR-422a	A_25_P00012417	FALSE	mir|hsa-miR-422a|mir|MIMAT0001339	chr15:061950212-061950199	NA	
215	95	64	kshv-miR-K12-6-5p	A_25_P00011723	FALSE	mir|kshv-miR-K12-6-5p|mir|MIMAT0002188	unmapped	NA	
216	95	62		NegativeControl	neg				CONTROL
217	95	60	hsa-miR-143*	A_25_P00013418	FALSE	mir|hsa-miR-143*|mir|MIMAT0004599	chr5:148788706-148788721	NA	
218	95	58		NA	ignore				-- ignore
219	95	56	hsa-miR-938	A_25_P00013083	FALSE	mir|hsa-miR-938|mir|MIMAT0004981	chr10:029931234-029931219	NA	
220	95	54		NA	ignore				-- ignore
